epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,49787.9,1.23472,0.72728,1.19945,0.91457,0.81147,0.88983,0.57816,1.27639,0.65223,1.21293,0.0034165,0.0034165,0.0034165
135,50167.1,1.23973,0.72251,1.20211,0.91314,0.81346,0.8904,0.57852,1.27585,0.65073,1.21233,0.003367,0.003367,0.003367
136,50547.4,1.23049,0.71731,1.19644,0.91297,0.81446,0.89087,0.57924,1.27602,0.65075,1.21234,0.0033175,0.0033175,0.0033175
137,50926.1,1.24194,0.72795,1.20405,0.91499,0.81253,0.89066,0.5791,1.27587,0.64937,1.21194,0.003268,0.003268,0.003268
138,51305.1,1.23499,0.7217,1.19954,0.91539,0.81154,0.89054,0.57945,1.27596,0.64828,1.2116,0.0032185,0.0032185,0.0032185
139,51683.8,1.23501,0.7213,1.19873,0.91596,0.81069,0.89038,0.57951,1.27547,0.64866,1.21166,0.003169,0.003169,0.003169
140,52062,1.22474,0.71444,1.19335,0.91724,0.81096,0.89111,0.5795,1.27533,0.64811,1.21195,0.0031195,0.0031195,0.0031195
141,52441.1,1.23366,0.71971,1.19634,0.91775,0.81062,0.89103,0.57938,1.2755,0.64893,1.21197,0.00307,0.00307,0.00307
142,52819.2,1.23177,0.71908,1.20071,0.91665,0.81198,0.89115,0.57934,1.27524,0.64848,1.21177,0.0030205,0.0030205,0.0030205
143,53198,1.22375,0.71589,1.19286,0.91761,0.81174,0.8909,0.57974,1.27444,0.6478,1.21142,0.002971,0.002971,0.002971
144,53580.6,1.2262,0.71826,1.19556,0.91598,0.81174,0.89103,0.57976,1.27462,0.64755,1.21109,0.0029215,0.0029215,0.0029215
145,53960,1.22977,0.72156,1.19478,0.916,0.81214,0.89111,0.58023,1.27402,0.64681,1.21076,0.002872,0.002872,0.002872
146,54339.8,1.22123,0.70454,1.18663,0.91969,0.81174,0.89203,0.58067,1.27403,0.64651,1.21043,0.0028225,0.0028225,0.0028225
147,54717.6,1.22862,0.71712,1.19183,0.91851,0.81214,0.89223,0.58122,1.27302,0.64585,1.20969,0.002773,0.002773,0.002773
148,55099.3,1.21821,0.70933,1.18837,0.91923,0.81182,0.89271,0.58137,1.27141,0.64494,1.20899,0.0027235,0.0027235,0.0027235
149,55480.1,1.21666,0.7095,1.1891,0.92149,0.81108,0.89275,0.58139,1.27125,0.64373,1.20866,0.002674,0.002674,0.002674
150,55859.7,1.21782,0.69778,1.18646,0.91949,0.81169,0.89288,0.58188,1.27004,0.64235,1.20802,0.0026245,0.0026245,0.0026245
