epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,64042.1,0.949,0.49027,1.04419,0.94902,0.88522,0.94188,0.67635,1.06796,0.4571,1.11526,0.005512,0.005512,0.005512
138,64516,0.9435,0.49464,1.04037,0.95008,0.88374,0.94189,0.67658,1.06755,0.45677,1.11511,0.005479,0.005479,0.005479
139,64927.8,0.94023,0.48963,1.03868,0.95026,0.88337,0.94201,0.67696,1.06766,0.4568,1.1151,0.005446,0.005446,0.005446
140,65406.4,0.93874,0.4873,1.03973,0.94619,0.88833,0.94189,0.6767,1.06718,0.45649,1.11487,0.005413,0.005413,0.005413
141,65886.4,0.92869,0.48034,1.03266,0.94683,0.88894,0.94226,0.6773,1.06723,0.45645,1.11481,0.00538,0.00538,0.00538
142,66363.5,0.93822,0.48833,1.03768,0.9462,0.88954,0.94215,0.67719,1.06711,0.4566,1.11472,0.005347,0.005347,0.005347
143,66839.8,0.93455,0.48817,1.03606,0.94754,0.88746,0.9422,0.67785,1.06644,0.456,1.11454,0.005314,0.005314,0.005314
144,67281.1,0.932,0.48014,1.03405,0.95174,0.88352,0.94202,0.67821,1.06627,0.45589,1.11439,0.005281,0.005281,0.005281
145,67736.9,0.93088,0.48172,1.03579,0.9524,0.88334,0.94202,0.67841,1.06585,0.45595,1.11432,0.005248,0.005248,0.005248
146,68213.5,0.93243,0.48467,1.03555,0.95237,0.88269,0.94192,0.67874,1.06592,0.45565,1.11439,0.005215,0.005215,0.005215
147,68690.4,0.92211,0.47939,1.03252,0.9515,0.88405,0.94192,0.67829,1.0661,0.45564,1.11461,0.005182,0.005182,0.005182
148,69169.5,0.92292,0.47679,1.02913,0.94772,0.88781,0.94212,0.67848,1.06576,0.45502,1.1145,0.005149,0.005149,0.005149
149,69646.8,0.91759,0.47547,1.0294,0.94824,0.88741,0.94193,0.67814,1.0651,0.45443,1.11406,0.005116,0.005116,0.005116
150,70052.9,0.9191,0.47164,1.02771,0.94578,0.88918,0.94208,0.67839,1.0652,0.45409,1.11428,0.005083,0.005083,0.005083
151,70530,0.91998,0.47462,1.02917,0.94774,0.88807,0.94153,0.67846,1.06474,0.45395,1.11404,0.00505,0.00505,0.00505
152,71007.7,0.91349,0.47327,1.02752,0.94837,0.88804,0.94168,0.67836,1.06454,0.45346,1.11422,0.005017,0.005017,0.005017
153,71483.6,0.9146,0.47316,1.02744,0.94825,0.88829,0.94182,0.67887,1.0644,0.45312,1.11438,0.004984,0.004984,0.004984
154,71960.7,0.91371,0.47455,1.02488,0.94897,0.8868,0.94144,0.6789,1.06412,0.45323,1.11444,0.004951,0.004951,0.004951
155,72402.7,0.91128,0.47111,1.02528,0.95478,0.88213,0.94165,0.67897,1.06462,0.45352,1.1147,0.004918,0.004918,0.004918
156,72865.8,0.91382,0.46964,1.02467,0.95455,0.88295,0.94135,0.67891,1.06442,0.4534,1.11491,0.004885,0.004885,0.004885
157,73341.5,0.91013,0.46968,1.02212,0.95481,0.88229,0.94093,0.67884,1.0644,0.45331,1.11516,0.004852,0.004852,0.004852
